Unnamed: 0,Photo,Cond,Ci,Trmmol,VPD,LA,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,Pari,Press,id,X,SetLA
9,6.02,0.0256,387.0,0.551,2.14,6.0,0.5,2.25,22.46,25.12,22.09,801.26,788.35,9.559,10.65,35.05,39.05,300.2,1799.0,100.1,Blandy_Ltul_2,,
10,6.65,0.0221,474.0,0.48,2.15,6.0,0.5,2.25,22.45,25.13,22.09,1000.16,985.92,9.568,10.518,35.1,38.59,300.2,1800.0,100.1,Blandy_Ltul_2,,
11,7.01,0.0192,567.0,0.419,2.15,6.0,0.5,2.25,22.43,25.08,22.09,1200.96,1185.96,9.56,10.389,35.11,38.16,300.2,1800.0,100.1,Blandy_Ltul_2,,
12,7.22,0.0161,725.0,0.353,2.16,6.0,0.5,2.25,22.41,25.03,22.09,1501.09,1485.61,9.537,10.235,35.07,37.64,300.2,1800.0,100.1,Blandy_Ltul_2,,
13,8.35,0.0142,984.0,0.313,2.17,6.0,0.5,2.25,22.4,25.01,22.09,2000.22,1982.29,9.497,10.116,34.95,37.23,300.2,1801.0,100.1,Blandy_Ltul_2,,
1,18.4,0.141,135.0,1.83,1.31,6.0,0.5,2.25,24.62,24.92,24.9,398.9,360.76,15.425,19.015,48.57,59.66,299.6,1800.0,97.51,KBS_Pvir_5,,
2,14.8,0.15,96.9,1.85,1.25,6.0,0.5,2.25,24.66,24.78,25.08,298.7,268.04,15.719,19.351,49.36,60.55,299.6,1800.0,97.51,KBS_Pvir_5,,
3,10.8,0.162,62.2,1.94,1.22,6.0,0.5,2.25,24.93,24.87,25.48,199.99,177.73,16.015,19.825,49.31,61.03,299.6,1799.0,97.51,KBS_Pvir_5,,
4,5.49,0.165,30.1,1.93,1.19,6.0,0.5,2.25,24.77,24.95,25.09,99.14,87.8,16.525,20.309,51.57,63.14,299.6,1799.0,97.52,KBS_Pvir_5,,
5,2.66,0.176,17.3,1.98,1.15,6.0,0.5,2.25,24.8,24.84,25.29,49.15,43.66,16.669,20.544,51.92,63.75,299.6,1801.0,97.52,KBS_Pvir_5,,
6,19.1,0.187,180.0,2.08,1.15,6.0,0.5,2.25,25.26,24.93,25.87,399.97,360.3,16.636,20.718,50.23,62.56,299.6,1801.0,97.53,KBS_Pvir_5,,
7,20.3,0.19,170.0,2.09,1.13,6.0,0.5,2.25,25.4,24.84,26.52,399.92,357.86,16.589,20.69,49.72,62.01,299.6,1801.0,97.54,KBS_Pvir_5,,
8,21.8,0.185,343.0,2.06,1.15,6.0,0.5,2.25,25.51,24.9,26.26,599.92,553.91,16.612,20.649,49.63,61.46,299.6,1800.0,97.55,KBS_Pvir_5,,
9,23.1,0.185,525.0,2.07,1.15,6.0,0.5,2.25,25.63,24.86,26.46,800.58,751.14,16.486,20.547,48.72,60.73,299.6,1800.0,97.55,KBS_Pvir_5,,
1,21.1,0.557,277.0,4.17,0.891,6.0,0.5,2.25,25.0,25.21,24.82,399.74,354.7,15.568,23.702,48.09,73.22,300.2,1799.0,98.23,Guelph_Ptre_2,,
2,15.1,0.539,210.0,4.03,0.885,6.0,0.5,2.25,24.55,25.1,24.23,299.73,267.31,15.689,23.553,50.06,74.73,300.2,1799.0,98.23,Guelph_Ptre_2,,
