,unadjudicatedName,plantLeaf,plantForm,plantType,acceptedName,nameAuthor,nameAuthority,nameCategory,nameAdjudicator
4075,rhodostemonodaphne kuthiana,evergreen,tree,angiosperm,rhodostemonodaphne kuthiana,,,species,
1781,robinia pseudoacacia,deciduous,tree,angiosperm,robinia pseudoacacia,,,species,
524,samanea saman,deciduous,tree,angiosperm,samanea saman,,,species,
4011,sapium glandulosum,evergreen,tree,angiosperm,sapium glandulosum,,,species,
1300,sassafrass albidum,deciduous,tree,angiosperm,sassafrass albidum,,,species,
345,simarouba glauca,evergreen,tree,angiosperm,simarouba glauca,,,species,
1954,theobroma cacao,evergreen,tree,angiosperm,theobroma cacao,,,species,
1362,trichilia septentrionalis,evergreen,tree,angiosperm,trichilia septentrionalis,,,species,
154,ulmus americana,deciduous,tree,angiosperm,ulmus americana,,,species,
576,virola koschnyi,evergreen,tree,angiosperm,virola koschnyi,,,species,
881,virola sebifera,evergreen,tree,angiosperm,virola sebifera,,,species,
459,xylopia sericophylla,evergreen,tree,angiosperm,xylopia sericophylla,,,species,
1388,zanthoxylum panamense,evergreen,tree,angiosperm,zanthoxylum panamense,,,species,
219,zea mays,,graminoid,angiosperm,zea mays,,,species,
1022,zygia longifolia,evergreen,tree,angiosperm,zygia longifolia,,,species,
