,unadjudicatedName,plantType,plantLeaf,plantForm,acceptedName,nameAuthor,nameAuthority,nameCategory,nameAdjudicator
58899,pinus sylvestris (prov ussr),gymnosperm,evergreen,needleleaf evergreen tree,,,,,
58839,pinus sylvestris prov(sumpberget),gymnosperm,evergreen,needleleaf evergreen tree,,,,,
21172,pinus taeda,gymnosperm,evergreen,needleleaf evergreen tree,,,,,
25409,piper glabrescens,angiosperm,evergreen,broadleaf evergreen tree,,,,,
61388,pittoniotis trichantha,angiosperm,evergreen,broadleaf evergreen tree,,,,,
45901,poa pratensis,,,,,,,,
7161,populus deltoides,angiosperm,deciduous,broadleaf deciduous tree,,,,,
7329,populus tremuloides,angiosperm,deciduous,broadleaf deciduous tree,,,,,
27688,pouteria anomala,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27752,pouteria cf. erythrochrysa,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27780,pouteria williamii,angiosperm,evergreen,broadleaf evergreen tree,,,,,
25879,prestoea montana,angiosperm,evergreen,broadleaf evergreen tree,,,,,
59746,protium panamense,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27816,protium sp,angiosperm,evergreen,broadleaf evergreen tree,,,,,
24971,prunus persica,angiosperm,deciduous,broadleaf deciduous tree,,,,,
26192,psychotria brachiata,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27831,quaruba branca,angiosperm,evergreen,broadleaf evergreen tree,,,,,
22835,quercus crispula,angiosperm,deciduous,broadleaf deciduous tree,,,,,
10289,quercus petraea,angiosperm,deciduous,broadleaf deciduous tree,,,,,
10580,quercus robur,angiosperm,deciduous,broadleaf deciduous tree,,,,,
47121,quercus virginiana,,,,,,,,
26850,rourea surinamensis,angiosperm,evergreen,broadleaf evergreen tree,,,,,
54811,salix pulchra,,,tundra,,,,,
61471,schefflera morototoni,angiosperm,evergreen,broadleaf evergreen tree,,,,,
59858,simarouba amara,angiosperm,evergreen,broadleaf evergreen tree,,,,,
61539,spondias mombin,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27106,syzygium graveolens,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27838,tachigali mimercophyla ducke,angiosperm,evergreen,broadleaf evergreen tree,,,,,
60103,tachigali versicolor,angiosperm,evergreen,broadleaf evergreen tree,,,,,
48180,tamarindus indica,,,,,,,,
60251,tapirira guianensis,angiosperm,evergreen,broadleaf evergreen tree,,,,,
60329,terminalia amazonia,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27859,tetracera amazonica,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27873,tetragastris panamensis,angiosperm,evergreen,broadleaf evergreen tree,,,,,
49009,tipuana tipu,,,,,,,,
60445,tocoyena pittieri,angiosperm,evergreen,broadleaf evergreen tree,,,,,
49699,triticum aestivum,,,,,,,,
50785,ulmus americana,,,,,,,,
60513,vantanea depleta,angiosperm,evergreen,broadleaf evergreen tree,,,,,
60562,virola multiflora,angiosperm,evergreen,broadleaf evergreen tree,,,,,
60713,vochysia ferruginea,angiosperm,evergreen,broadleaf evergreen tree,,,,,
61713,zuelania guidonia,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27894,zygia racemosa,angiosperm,evergreen,broadleaf evergreen tree,,,,,
